Frequency (Hz)	Level (dB)
4268.957520	-85.094727
4274.340820	-85.154846
4279.724121	-85.195038
4285.107422	-85.240433
4290.490723	-85.296333
4295.874023	-85.329575
4301.257324	-85.390594
4306.640625	-85.432671
4312.023926	-85.473816
4317.407227	-85.526405
4322.790527	-85.562195
4328.173828	-85.610023
4333.557129	-85.651787
4338.940430	-85.703613
4344.323730	-85.742149
4349.707031	-85.781197
4355.090332	-85.832840
4360.473633	-85.880173
4365.856934	-85.907997
4371.240234	-85.952187
4376.623535	-86.005623
4382.006836	-86.024048
4387.390137	-86.081856
4392.773438	-86.133331
4398.156738	-86.140953
4403.540039	-86.217064
4408.923340	-86.229416
4414.306641	-86.291695
4419.689941	-86.310844
4425.073242	-86.359612
4430.456543	-86.396332
4435.839844	-86.443161
4441.223145	-86.458733
4446.606445	-86.520775
4451.989746	-86.560272
4457.373047	-86.575233
4462.756348	-86.638474
4468.139648	-86.647667
4473.522949	-86.703949
4478.906250	-86.753830
4484.289551	-86.758652
4489.672852	-86.815300
4495.056152	-86.849937
4500.439453	-86.880119
4505.822754	-86.915382
4511.206055	-86.951492
4516.589355	-86.980927
4521.972656	-87.043213
4527.355957	-87.034149
4532.739258	-87.108772
4538.122559	-87.111656
4543.505859	-87.176704
4548.889160	-87.185753
4554.272461	-87.226082
4559.655762	-87.275970
4565.039063	-87.275665
4570.422363	-87.333641
4575.805664	-87.379448
4581.188965	-87.370529
4586.572266	-87.415306
4591.955566	-87.470070
4597.338867	-87.475555
4602.722168	-87.544823
4608.105469	-87.541840
4613.488770	-87.588486
4618.872070	-87.611931
4624.255371	-87.644745
4629.638672	-87.693001
4635.021973	-87.699875
4640.405273	-87.740707
4645.788574	-87.775589
4651.171875	-87.788330
4656.555176	-87.850830
4661.938477	-87.867271
4667.321777	-87.871452
4672.705078	-87.952240
4678.088379	-87.935715
4683.471680	-87.988548
4688.854980	-88.028061
4694.238281	-88.024002
4699.621582	-88.072525
4705.004883	-88.108810
4710.388184	-88.118126
4715.771484	-88.184601
4721.154785	-88.178741
4726.538086	-88.226906
4731.921387	-88.232872
4737.304688	-88.253075
4742.687988	-88.333519
4748.071289	-88.318970
4753.454590	-88.352943
4758.837891	-88.373825
4764.221191	-88.400177
4769.604492	-88.458946
